PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,PROVINCIA,Campanna1,Campanna2,Campanna3,Zona_Renta,REV_Garantia,Averia_grave,QUEJA_CAC,COSTE_VENTA,km_anno,Revisiones,Edad_Cliente,Prediccion,Probabilidad_Compra,porcentaje,Tipo_Cliente
0,0,0,0,1,0,3,0,1,46,0,0,0,3,0,2,0,1376,0,1,18,0,0.010904302,1.0904302,No Interesados
0,0,0,0,1,3,0,0,1,8,1,0,0,3,0,3,1,1376,0,1,21,0,0.060663275,6.0663275,No Interesados
0,0,0,0,1,3,0,0,1,44,0,0,0,1,0,3,1,2594,0,2,26,0,0.040547557,4.054755699999999,No Interesados
0,0,0,0,1,0,0,1,1,31,0,0,0,2,0,0,1,2594,0,1,30,0,0.03526765,3.5267649999999997,No Interesados
0,0,0,0,1,0,0,0,1,2,1,0,0,2,0,2,0,2594,0,1,23,0,0.12410803,12.410803,No Interesados
0,0,0,0,1,3,0,0,1,32,0,0,0,2,1,2,1,1376,9646,1,50,0,0.020490674,2.0490674,No Interesados
0,0,0,0,1,0,3,0,1,26,0,0,0,3,0,2,0,1376,0,0,26,0,0.19568191,19.568191,No Interesados
0,0,0,0,1,2,0,1,1,18,1,0,0,0,0,3,1,2228,0,0,28,0,0.047160517,4.7160516999999995,No Interesados
0,0,0,0,1,2,3,0,1,7,1,0,0,3,0,3,1,2015,0,1,23,0,0.01530624,1.530624,No Interesados
0,0,0,0,1,1,0,0,1,8,0,0,0,1,0,1,0,1590,0,1,31,0,0.0045208074,0.45208074,No Interesados
0,0,0,0,1,2,3,0,1,8,0,0,1,1,0,1,0,2169,0,0,26,0,0.006735856,0.6735856,No Interesados
0,0,0,0,1,2,0,1,1,18,1,0,0,0,0,0,0,1560,0,1,19,0,0.15536498,15.536498000000002,No Interesados
0,0,0,0,1,3,0,1,1,31,0,0,0,2,0,0,0,1376,0,2,29,0,0.019407067,1.9407067,No Interesados
0,0,0,0,1,2,0,0,1,19,0,0,1,1,0,0,0,2169,0,1,22,0,0.0024727818,0.24727818000000001,No Interesados
0,0,0,0,1,2,3,1,1,0,0,0,1,1,0,3,1,2169,0,0,23,0,0.0032783707,0.32783707,No Interesados
0,0,0,0,1,2,0,1,1,31,0,0,1,1,0,0,0,2169,0,1,28,0,0.002841873,0.2841873,No Interesados
0,0,0,0,1,2,0,1,1,4,1,0,1,0,1,3,1,1376,6048,2,37,0,0.18137446,18.137445999999997,No Interesados
0,0,0,0,1,0,3,0,1,9,0,0,0,1,0,0,0,1590,0,1,28,0,0.005635118,0.5635118,No Interesados
0,0,0,0,1,2,0,1,1,49,1,0,0,3,0,0,0,2228,0,2,32,0,0.009145778,0.9145778,No Interesados
0,0,0,0,1,0,3,1,1,47,0,0,0,2,1,3,1,1376,22275,1,52,0,0.016808249,1.6808249000000002,No Interesados
0,0,0,0,1,3,0,0,1,8,0,0,0,0,1,3,1,1376,10867,2,55,0,0.2994082,29.940820000000002,No Interesados
0,0,0,0,1,2,0,0,1,15,1,0,0,2,0,3,1,2015,0,2,20,0,0.020167926,2.0167926,No Interesados
0,0,0,0,1,0,0,1,0,13,0,0,0,0,0,3,1,1590,0,2,19,0,0.03996835,3.996835,No Interesados
0,0,0,0,1,0,0,1,1,47,0,0,0,2,1,3,1,1376,28763,2,57,0,0.046808932,4.6808932,No Interesados
0,0,0,0,1,2,0,0,1,31,1,0,1,1,0,3,1,1590,0,0,20,0,0.008429633,0.8429633000000001,No Interesados
0,0,0,0,1,0,3,1,1,8,0,0,0,3,0,0,0,1590,0,2,31,0,0.0019968513,0.19968513000000002,No Interesados
0,0,0,0,1,2,0,0,1,42,1,0,1,1,0,3,1,1590,0,1,30,0,0.010287559,1.0287559,No Interesados
0,0,0,0,1,2,0,1,1,18,1,0,0,0,0,0,0,2015,0,2,28,0,0.18529975,18.529975,No Interesados
0,0,0,0,1,0,0,1,1,13,0,0,0,1,0,0,0,3097,0,1,19,0,0.106452,10.6452,No Interesados
0,0,0,0,1,2,3,0,1,8,1,0,1,1,0,0,0,1590,0,1,20,0,0.015606333,1.5606333000000001,No Interesados
0,0,0,0,1,2,3,1,1,13,1,0,0,3,0,0,0,2228,0,1,19,0,0.004166828,0.4166828,No Interesados
0,0,0,0,1,2,0,1,1,31,0,0,1,1,0,0,0,2169,0,1,20,0,0.0024250238,0.24250238,No Interesados
0,0,0,0,1,2,0,0,1,44,0,0,1,1,0,1,0,2169,0,1,31,0,0.002300898,0.2300898,No Interesados
0,0,0,0,1,0,0,1,1,51,0,0,0,2,0,0,0,2594,0,2,24,0,0.023408126,2.3408126,No Interesados
